;user;timestamp;cpu;ram;disco;swap
0;Gabriel;04-09-25 14:17:26;61.7;93.9;78.5;11.4
1;Gabriel;04-09-25 14:17:38;21.6;83.5;78.5;13.5
2;Gabriel;04-09-25 14:17:48;8.9;82.7;78.5;13.5
3;Gabriel;04-09-25 14:17:58;6.0;82.6;78.5;13.5
4;Gabriel;04-09-25 14:18:08;18.8;84.9;78.5;13.5
5;Gabriel;04-09-25 14:18:18;12.5;83.7;78.5;13.5
6;Gabriel;04-09-25 14:18:28;19.7;84.3;78.5;13.3
7;Gabriel;04-09-25 14:18:38;10.7;84.0;78.5;13.3
8;Gabriel;04-09-25 14:18:48;14.5;84.1;78.5;12.4
9;Gabriel;04-09-25 14:18:58;12.6;84.2;78.5;12.4
10;Gabriel;04-09-25 14:19:08;12.2;81.9;78.5;12.3
11;Gabriel;04-09-25 14:19:18;11.4;80.5;78.5;12.3
